t[s],AI 0 (V),AI 2 (V),AI 4 (V),AI 1 (A),AI 3 (A),AI 5 (A)
-1.98,120.652,1298.36,-1421.1,12.8174,-1.2207,-15.2588
-1.97996,63.8745,1347.07,-1420.96,12.207,-1.2207,-17.0898
-1.97992,203.313,1263.16,-1462.71,14.0381,-4.27246,-20.752
-1.97988,66.6577,1336.22,-1401.62,8.54492,-3.66211,-25.0244
-1.97984,51.6284,1341.23,-1394.25,10.376,-2.44141,-22.583
-1.9798,58.3081,1376.29,-1442.81,15.8691,4.27246,-15.2588
-1.97976,96.7163,1311.31,-1400.23,14.6484,1.2207,-16.4795
-1.97972,-6.54053,1387.98,-1380.05,11.5967,-0.610352,-19.5313
-1.97968,-37.0166,1397.31,-1361.13,16.4795,2.44141,-13.4277
-1.97964,-59.2822,1410.25,-1351.94,15.8691,-0.610352,-14.0381
-1.9796,-52.4634,1401.06,-1347.21,15.8691,0.610352,-14.6484
-1.97956,-101.865,1430.71,-1330.09,11.5967,-1.2207,-17.0898
-1.97952,-92.2632,1409.97,-1315.62,12.8174,0.610352,-22.583
-1.97948,-133.594,1439.19,-1306.57,9.76563,-2.44141,-21.9727
-1.97944,-102.7,1430.98,-1328.28,12.207,-1.83105,-21.9727
-1.9794,-132.202,1446.57,-1317.01,14.0381,1.83105,-16.4795
-1.97936,-194.685,1475.79,-1281.11,16.4795,0,-9.76563
-1.97932,-219.734,1473.98,-1255.09,15.2588,1.83105,-12.8174
-1.97928,-277.068,1533.96,-1263.3,14.0381,-1.2207,-16.4795
-1.97924,-282.078,1511.98,-1229.62,12.8174,-1.2207,-17.0898
-1.9792,-309.771,1521.3,-1212.36,10.376,-1.2207,-18.3105
-1.97916,-305.596,1510.58,-1205.13,8.54492,2.44141,-18.9209
-1.97912,-352.771,1531.04,-1182.17,6.71387,-3.66211,-26.2451
-1.97908,-239.634,1472.04,-1231.15,10.376,-1.83105,-15.2588
-1.97904,-383.386,1558.32,-1178.27,15.8691,1.83105,-9.76563
-1.979,-437.102,1556.92,-1119.68,17.7002,4.27246,-9.15527
-1.97896,-456.306,1567.5,-1111.61,17.7002,3.66211,-7.32422
-1.97892,-477.319,1535.91,-1050.8,15.2588,2.44141,-14.0381
